run	read	path
blank_52	R2	rawdata/WAR4048A1_432/blank_52_S432_L002_R2_001.fastq.gz
blank_52	R1	rawdata/WAR4048A1_432/blank_52_S432_L001_R1_001.fastq.gz
blank_52	R1	rawdata/WAR4048A1_432/blank_52_S432_L002_R1_001.fastq.gz
blank_52	R2	rawdata/WAR4048A1_432/blank_52_S432_L001_R2_001.fastq.gz
J374f	R1	rawdata/WAR4048A1_268/J374f_S268_L001_R1_001.fastq.gz
J374f	R1	rawdata/WAR4048A1_268/J374f_S268_L002_R1_001.fastq.gz
J374f	R2	rawdata/WAR4048A1_268/J374f_S268_L002_R2_001.fastq.gz
J374f	R2	rawdata/WAR4048A1_268/J374f_S268_L001_R2_001.fastq.gz
J416	R1	rawdata/WAR4048A1_125/J416_S125_L002_R1_001.fastq.gz
J416	R2	rawdata/WAR4048A1_125/J416_S125_L001_R2_001.fastq.gz
J416	R2	rawdata/WAR4048A1_125/J416_S125_L002_R2_001.fastq.gz
J416	R1	rawdata/WAR4048A1_125/J416_S125_L001_R1_001.fastq.gz
J426d	R1	rawdata/WAR4048A1_475/J426d_S475_L001_R1_001.fastq.gz
J426d	R1	rawdata/WAR4048A1_475/J426d_S475_L002_R1_001.fastq.gz
J426d	R2	rawdata/WAR4048A1_475/J426d_S475_L001_R2_001.fastq.gz
J426d	R2	rawdata/WAR4048A1_475/J426d_S475_L002_R2_001.fastq.gz
J382c	R2	rawdata/WAR4048A1_294/J382c_S294_L001_R2_001.fastq.gz
J382c	R1	rawdata/WAR4048A1_294/J382c_S294_L001_R1_001.fastq.gz
J382c	R2	rawdata/WAR4048A1_294/J382c_S294_L002_R2_001.fastq.gz
J382c	R1	rawdata/WAR4048A1_294/J382c_S294_L002_R1_001.fastq.gz
TLC715	R1	rawdata/WAR4048A1_55/TLC715_S55_L002_R1_001.fastq.gz
TLC715	R2	rawdata/WAR4048A1_55/TLC715_S55_L001_R2_001.fastq.gz
TLC715	R2	rawdata/WAR4048A1_55/TLC715_S55_L002_R2_001.fastq.gz
TLC715	R1	rawdata/WAR4048A1_55/TLC715_S55_L001_R1_001.fastq.gz
J429	R2	rawdata/WAR4048A1_524/J429_S524_L001_R2_001.fastq.gz
J429	R2	rawdata/WAR4048A1_524/J429_S524_L002_R2_001.fastq.gz
